name,sales_group,address,customer_account
Landesign LLC,JHF,"1491 East Pearce Blvd.
Wentzville, MO 63385",C020400
Landfill Equipment,SDH,"1535 Mcnutt Road
Herculaneum, MO 63048",C007381
Landmarc,JHF,"2021 Timberbrook Lane
Springfield, IL 62702",C007382
Landmark Signs,JHF,"175 Chesterfield Industrial
Chesterfield, MO 63005",C034670
Landmasters,JHF,"2731 Treston Ave
St. Louis, MO 63114",C007383
Landry Aero,JDC,"584 Nighthawk Road
Morse, LA 70559",C007384
Landshire Incorporated,JHF,"12 Tucker Drive
Caseyville, IL 62232",C007385
Landshire Incorporated,JHF,"727 North First Street
St. Louis, MO 63102",C007386
Landvatter Ready Mix,MRH,"3881 Seeburger Rd
St. Charles, MO 63301",C007387
Landvatter Ready Mix Inc.,JHF,"3000 Barrett Station Rd.
St. Louis, MO 63122",C007388
Lane Building Products,JHF,"1650 Highway 28
Owensville, MO 65066",C007389
Lane Construction Co.,JHF,"P.O. Box 128
Lebanon, IL 62254",C007390
"Lange Electric, Inc.",JHF,"912 East Fayette 
P. O. Box 912
Effingham, IL 62401",C007391
Lange Stegmann,KMP,"One Angelica Street
St. Louis, MO 63147",C007392
Langleys Towing & Repair,JHF,"1712 E City Route 40
Greenville, IL 62246",C007393
"Langston Bag Of Peoria, Llc",MDC,"1114 S.W. Adams
Peoria, IL 61602",C007394
Lanny Burke,JHF,"D Highway County Road 123
Van Buren, MO 63965",C025787
Lansdown Race Cars,JHF,"3172 North Iron Mountain Rd.
Fordland, MO 65652",C028985
Lapham Hickey Steel,MTL,"11 Caine Drive
Madison, IL 62060",C007395
Largo Machine,TNC,"Route 1 Box 134
Arcadia, MO 63621",C007396
Larry Conaway Sawmill,JHF,"46 Long Ridge Road
Steelville, MO 65565",C030188
Larry Emmons,JHF,"649 County Hwy 282
Holcomb, MO 63852",C007397
Larry Evans,NCB,"30126 Olive Drive
Lebanon, MO 65536",C007398
Larry Halligan,LRH,"1376 Crooked Stick
O'Fallon, MO 63366",C007399
Larry Halligan,JHF,"1376 Crooked Stick Drive
O'Fallon, MO 63366",C031747
Larry Houck,JHF,"12180 Coffeen Rd
Irving, IL 62051",C007400
Larry Lyday,LAW,"P.O. Box 1016
Salem, IL 62881",C007401
Larry Mudd,JHF,"3980 Common Scholl Road
Prairie Du Rocher, IL 62277",C017682
Larry Poggemoeller,JHF,"24 Andor Lane
Hillsboro, MO 63050",C018288
Larry Rohlfing,JHF,"470 Hidden Valley Lane
O'Fallon, MO 63366",C007402
Larry Steffen,JHF,"1641 Wade Road
Pacific, MO 63069",C007403
Larry Walker - Home Owner,JHF,"418 Big Cedar Court
Foristell, MO 63348",C022542
Larry Wilson,JHF,"260 Royal Ridge Court
Foley, MO 63347",C007404
Larry's Mobile Truck Repair,JHF,"50 N Camelot Drive
Troy, MO 63379",C007405
Larry's Motor Sports,JHF,"5217 Business 50 West
Jefferson City, MO 65109",C032964
Larry's Pneumatic Service,JHF,"100 Princeton Ave
Bluefield, WV 24701",C007406
Larry's Sewing Center,LAW,"8375 East 850 Th Avenue
Newton, IL 62448",C007407
Larson Farm & Lawn,JHF,"160 Jd Power Trl
Jefferson City, MO 65101",C007408
Larson Mfg Co,JHF,"500 N Larson Ave
Lake Mills, IA 50450",C007409
Lasco Foods,JHF,"4553 Gustine Avenue
St. Louis, MO 63116",C007410
"Laser Light Technologies, Inc",JHF,"#5 Danuser Drive
Hermann, MO 65041",C007411
Latham Pools,RDP,"Rural Route 1 
312 Duncan Road
Dix, IL 62830",C007412
Latic Suad,JHF,"569 Hannah Way
Arnold, MO 63010",C031778
Latitudes,AJA,"1000 Indepedence Drive
P.O. Box 39
Sullivan, MO 63080",C007413
Launius Marketing Specialists,SDH,"100 E. Laurel
Millstadt, IL 62260",C007414
Laura Chevrolet Buick GMC of Sullivan LLC,JHF,"P. O. Box 519
3 North Service Road E
Sullivan, MO 63080",C029697
Laurel Hill Cemetary,JHF,"7775 St. Charles Rock Road
St. Louis, MO 63114",C007415
Laurel Hill Cemetary,JHF,"P. O. Box 6708
St. Louis, MO 63144",C007416
Laurel Hill Development Corp,JHF,"2000 N. Pennsylvania Ave
St. Louis, MO 63133",C007417
Laurence Claycomb,JHF,"17262 Claycomb Road
Hughesville, MO 65334",C007418
Lauterbach Tire & Auto Service,JHF,"1569 Wabash St
Springfield, IL 62704",C017296
Lawn Authority,JHF,"2709 Hopewell Road
Wentzville, MO 63385",C007419
Lawn Sprinklers of St. Louis,JHF,"12812 Portulaca Dr. Unit F
Saint Louis, MO 63146",C024685
Lawrence Fabric Structures,DMG,"3509 Tree Court Industrial
St. Louis, MO 63122",C007420
Lawrence Gravel,LAW,"21265 East Darwin Ferry Rd
West Union, IL 62477",C007421
Lawrence Lewis,JHF,"245 Maple Street
Desoto, MO 63020",C007422
Lawson Equipment,JHF,"110 East 1St St
Stanberry, MO 64489",C007423
"Lawson Products, Inc.",JHF,"600 Corporate Woods Pkwy
Vernon Hills, IL 60061",C007424
"Lawson Products, Inc.",JHF,"8770 W. Bryn Mawr Avenue
Chicago, IL 60631",C007425
Lawson Screen Products,RGW,"5110 Penrose
St. Louis, MO 63115",C007426
Layne Western Company,JHF,"2399 Cassens Drive
Fenton, MO 63026",C017185
Lays Mining Service,RDP,"1121 S 10Th Street
Mt. Vernon, IL 62864",C007427
Lazy W Pallets Inc.,JMF,"825 Monks Street
WEST PLAINS, MO 65775",C007428
LazyDays RV,JHF,"6130 LazyDays Blvd
Seffner, FL 33584",C019821
Lb&B Associates,JHF,"Bldg 2220 Door 9 
First Street
Fort Leonard Wood, MO 65473",C007429
LB&B Associates Inc.,JHF,"9891 Broken Land Parkway
Ste 400
Columbia, MD 21046",C007430
"Lbl Gunite Of Tulsa, **SEE C008448**",JHF,"**DO NOT USE - SEE C008448**
7828 S. Regency Drive
Tulsa, OK 74131",C007431
Lci Concrete,JHF,"11015 Illinois Route 125
Beardstown, IL 62618",C007432
Lcj Whitfield Inc.,JHF,"P.O. Box 46812
St. Louis, MO 63146",C007433
Lcs Company,JHF,"1501 Lucy Lane
Union, MO 63084",C007434
LCS LLC,JHF,"1027 Cool Springs Industrial Drive
O'Fallon, MO 63366",C031752
"Ldc Homes, Inc.",JHF,"2503 Hunters Ridge
Edwardsville, IL 62025",C007435
LDI Pharmacy,JHF,"701 Emerson Road
Saint Louis, MO 63141",C007436
Ldm Equipment,JDC,"20775 Highway 25
Chaffee, MO 63740",C007437
Le Bonne Bouche Bakery,JHF,"1889 Craig Road
Saint Louis, MO 63146",C026133
Leadec Corp.,JHF,"9395 Kenwood Road
Cincinatti, OH 45242",C023600
Leanna Wilson,JHF,"774 East 380 Road
Dunnegan, MO 65640",C007438
Leap Engineering,JHF,"1860 Sherer Su A
Saint Charles, MO 63303",C028440
Lear Seating - Ford Division,JHF,"1609 Park 370
Hazelwood, MO 63042",C007439
Lear Seating Corporation,LRH,"255 Edinger Road
Wentzville, MO 63385",C007440
Lear Seating-Chrysler Division,JHF,"35 Corporate Woods Drive 
Plant No. Two- Chrysler
Bridgeton, MO 63044",C007441
Learning Services Corp,JHF,"7201 West Hampden Ave
Lakewood, CO 80227",C007442
Lebanon R3 School District,NCB,"224 West Commercial Street
Lebanon, MO 65536-3146",C007443
Lebanon Technology Center,JHF,"757 Brice Street
Lebanon, MO 65536",C007444
Lecorp Inc.,JHF,"P.O. Box 7508
Paducah, KY 42002",C007445
Lectro Engineering,NMM,"1643 Lotsie Boulevard
St. Louis, MO 63132",C007446
Lederle Machine Company,AJA,"830 Jefferson Street
Pacific, MO 63069",C007447
LEDR Recycling,JHF,"60 MB Corporate Park Court
Saint Charles, MO 63301",C029137
Lee Engineering Company,JHF,"6510 Page Avenue
St. Louis, MO 63133",C007448
Lee Fehr,JHF,"1248 County Road 1200 North
Eureka, IL 61530",C007449
Lee Helms Inc.,JHF,"222 Hall Avenue
Chesterfield, MO 63006",C007450
"Lee Helms,Inc.",JHF,"P.O. Box 6100
Chesterfield, MO 63006",C007451
Lee High Hanson,MJA,"22283 Taylorville Road
Nokomis, IL 62075",C007452
Lee Horneyer Company,JHF,"11537 Adie Road
Maryland Hts., MO 63043",C007453
Lee Manufacturing,TNC,"12590 Tall Pine Dr
Ste. Genevieve, MO 63670",C007454
Lee Manufacturing,TNC,"P.O. Box 206
Ste. Genevieve, MO 63670",C007455
Lee Mechanical Contractors,TNC,"508 Parkway Drive
Desloge, MO 63601",C007456
Lee Mechanical Contractors,TNC,"Box 663
Desloge, MO 63601",C007457
Lee Smith,KFC,"1148 West River Bluff Drive
Ozark, MO 65721",C007458
Lee Spring Company,JHF,"Division Of Unimax Corp. 
1334 Charlestowne Industrial Dr.
Saint Charles, MO 63303",C007459
Leefers Farm,JHF,"17130 Shipman Road
Carlinville, IL 62626",C021582
Leen Mfg **DO NOT USE**,DRH,"*** DO NOT USE - SEE C005433 ***
2451 Ellington Rd
Quincy, IL 62305",C007460
Leenert Group,DRH,"2831 West Oak Brook
Quincy, IL 62305",C026595
Lee's Lawn Care,DRH,"411 East Urbandale Drive
Moberly, MO 65270",C007461
Lee's Tool Sales,LAW,"1408 East Fayette 
P. O. Box 527
Effingham, IL 62401",C007462
Leeward Technologies,JHF,"1049 Apricot Dr.
St. Charles, MO 63301",C007463
Legacy Embroidery,JHF,"6 Pauwels Drive
Washington, MO 63090",C026235
Legacy Equipment,JDC,"10049 Highway 61 North
New Madrid, MO 63869",C007464
"Legacy Fasteners, LLC",JHF,"5710 Technical Dr., Bldg. A
Poplar Bluff, MO 63901",C021807
Legacy Packaging,KMP,"13480 Lakefront
Earth City, MO 63045",C007466
Legacy Pharmaceutical Pkg.,KMP,"13333 Lakefront Drive
Earth City, MO 63045",C007465
Legget & Platt Inc.,DMB,"Central A/P 0P23 
P.O. Box #1027
Carthage, MO 64836",C007467
Leggett & Platt,KFC,"1639 Blandwood Drive 
Attn: Doug Mishoe
High Point, NC 27264",C007468
Leggett & Platt,KFC,"4614 Nash Road 
P. O. Box 1210
Cape Girardeau, MO 63701",C007469
Leggett & Platt,DMB,"Central Ap - 4601 
P.O. Box 1027
Carthage, MO 64836",C007470
Leggett & Platt Br 14,DMB,"Clip Fabrication 
207 Zapletal Way
Carthage, MO 64836",C007471
Leggett & Platt Branch #0039,DMB,"Idea Center (Br #00-39) 
P.O. Box 757 
Attn: Karma Plybon
Carthage, MO 64836",C007472
Leggett & Platt Cvp 0P10,KFC,"Masterack Div. & Crown-Na 
20401 Trolley Industrial Dr.
Taylor, MI 48180",C007473
Leggett & Platt Inc,KFC,"1000 L & P Parkway
Monroe, GA 30656",C007474
Leggett & Platt Inc,KFC,"1430 Sherman Court
High Point, NC 27261",C007475
Leggett & Platt Inc,KFC,"4100 S I-45
Ennis, TX 75119",C007476
Leggett & Platt Incorporated,DMB,"Central A/P - 5600 
P.O. Box 1027
Carthage, MO 64836",C007477
Leggett & Platt Smart Prod.,DMB,"1914 S. Baker Blvd. 
P.O. Box 609  / Branch - 0796
Carthage, MO 64836",C007478
"Leggett & Platt, Inc",DMB,"#1 Leggett Road 
Central Ap Us Springs 
Po Box 1027
Carthage, MO 64836",C007479
"Leggett & Platt, Inc.",KFC,"4654 W. Farm Road 130
Springfield, MO 65802",C007480
"Leggett & Platt, Inc.",DMB,"Central A/P - 0079 
P. O. Box 1027
Carthage, MO 64836",C007481
"Leggett & Platt, Inc.",DMB,"Central A/P - 0114 
P. O. Box 1027
Carthage, MO 64836",C007482
"Leggett & Platt, Inc.",DMB,"Central A/P - 0558 
P. O. Box 1027
Carthage, MO 64836",C007483
"Leggett & Platt, Inc.",DMB,"Central A/P 0401 
P.O. Box 1027
Carthage, MO 64836",C007484
"Leggett & Platt, Inc.",DMB,"216 Zapletal Drive
Carthage, MO 64836",C007486
"Leggett & Platt, Inc.",DMB,"Bedding Manufacturing Services
Central AP - 0055
PO Box 1027
Carthage, MO 64836",C022846
Leggett And Platt,KFC,"101 New Street 
P.O. Box 4037
Winchester, KY 40392",C007487
Leggett And Platt Incorporated,DMB,"Central A/P - 0001P 
P. O. Box 1027
Carthage, MO 64836",C007488
Leggett And Platt Incorporated,DMB,"1129 West Fairview 
P. O. Box 609
Carthage, MO 64836",C007489
Leggett And Platt Incorporated,DMB,"229 N. Macgregor
Branch #1 
P. O. Box 674
Carthage, MO 64836",C007490
Leggett And Platt Incorporated,DMB,"Idea Center P.O. Box #757 
1914 South Baker
Carthage, MO 64836",C007491
Legg's Manufacturing Company,RDP,"900 W Delaware Street
Fairfield, IL 62837",C007492
Legra Engineering Inc.,JHF,"75 Progress Court 
P.O. Box 156
Moscow Mills, MO 63362",C007493
"Legrand Cablofil, Inc.",MTL,"8319 State Route 4
Mascoutah, IL 62258",C007494
LeGrand Farm Company,JHF,"977 State Highway E
Benton, MO 63736",C031674
Lehner Tool & Mfg Co.,JHF,"5320 N Broadway- Bldg 9
St. Louis, MO 63147",C007495
Lehner Tool And Die,JHF,"5400 North Broadway
St. Louis, MO 63147",C007496
"Leica Biosystems Richmond, Inc",JHF,"5205 Route 12 
P.O. Box 528
Richmond, IL 60071",C007497
Leigh Staples,SDH,"6615 Autum Oaks Dr
Festus, MO 63028",C007499
Leimer Fence,JDC,"620 County Road 601
Jackson, MO 63755",C007500
Leinco Technologies,JHF,"410 Axminister Dr
Fenton, MO 63026",C014844
Leisure Pool Supply,JHF,"520 Southwest Street
Jacksonville, IL 62650",C007501
Leisure Pools,DRH,"1858 East 603Rd Lane
Quincy, IL 62305",C007502
Lemay Concrete Block,JHF,"7900 Reilly Ave
St. Louis, MO 63111",C007503
Lemm Corporation,JHF,"P.O Box 3075
Attn:  Accounting Department
Cordova, TN 38088",C023627
Lemonade Plunge LLC,JHF,"145 E. State HWY CC
NIXA, MO 65714",C025153
Len Drewelow,JHF,"716 Sunset Street
New Hampton, IA 50659",C007504
Lender's Bagel Bakery,LAW,"3801 Dewitt Avenue
Mattoon, IL 61938",C007505
Lenexa Manufacturing Company,JHF,"15440 West 109Th Street
Lenexa, KS 66219",C007506
Lenhardt Tool And Die,JHF,"3100 East Broadway 
P. O. Box 279
Alton, IL 62002",C007507
Lennertson Sample Company,JHF,"101 Industrial Drive
Hermann, MO 65041",C007508
Lens Crafters,JHF,"#92 Chesterfield Mall 
Store #554
Chesterfield, MO 63017",C007509
Lens Crafters,JHF,"119 Jamestown Mall
Florissant, MO 63034",C007510
Lens Crafters,LRH,"Mid Rivers Mall
Saint Peters, MO 63376",C007511
Lens Crafters,JHF,"Store #196
White Oaks Plaza 
2765 Veterans Parkway
Springfield, IL 62704",C007512
Lens Masters,JHF,"11309 Midland
St. Louis, MO 63114",C007513
Leo Buchheit,JHF,"2525 PCR 510
Perryville, MO 63775",C017958
Leo M. Ellebracht Company,JHF,"1000 Corporate Pkwy. Drive 
Suite #101
Wentzville, MO 63385",C007514
Leo M. Ellebracht Company,LRH,"P.O. Box 1183
O'Fallon, MO 63366",C007515
Leo Straatmann Farm Service,JAP,"11310 State Highway 47
Marthasville, MO 63357",C007516
Leon Roberson,JHF,"1326 Highway 28
Bland, MO 65014",C007517
Leon Westendorf,JHF,"15035 Copper Ridge Ct.
Effingham, IL 62401",C028669
Leonard Broderick,JHF,"623 North Franklin
Staunton, IL 62088",C007518
Leonard Henry,JMF,"5367 State Route Uu
Pomona, MO 65789",C007519
Leonard Mundell,KFC,"1906 High Ridge
Nixa, MO 65714",C007520
Leonard Schwartz,JHF,"14450 State Route O
Ste. Genevieve, MO 63670",C007521
Leonard Suhre,JHF,"7270 Alhambra Rd
Alhambra, IL 62001",C007522
Leritz Contracting,JHF,"2909 Barrett Station Road
St. Louis, MO 63122",C007527
Leroy Smith Trucking,JHF,"222 N Main
North Salem, IN 46165",C007528
Lesco Enterprises,JHF,"1605 S. Florissant Road
ST. JOHN, MO 63121",C007529
Leslie Britt,LAW,"1881 Kinoka Road
Patoka, IL 62875",C007530
Lester Buildings,LAW,"890 West State Street
Charleston, IL 61920",C007531
Lester Mast,JHF,"19365 E. Bakerville Road
Opdyke, IL 62872",C007532
Letnan Industries,JHF,"6520 Arrow Dr.
Sterling Heights, MI 48314",C007533
Letourneau University,JHF,"21598 Connell Rd.
Tremont, IL 61568",C007534
Lev Sagal,JHF,"255 Brodway
New York, NY 10007",C030667
Lever Technologies,JHF,"1049 Apricot
Saint Charles, MO 63303",C007535
Levi Bontrager,KFC,"11665 Lawernce 2150
Mount Vernon, MO 65712",C007536
Lewis Boats Inc.,LRH,"4030 North Service Road
Saint Peters, MO 63376",C007537
"Lewis Controls, Inc",JHF,"260 N. 26Th Avenue
Cornelius, OR 97113",C007538
Lewis Electric Motor Service,JHF,"320 West Fourth Street
Eureka, MO 63025",C007539
Lewis Electric Motor Service,JHF,"P.O. Box 151
Eureka, MO 63025",C007540
Lewis Hybrids,JHF,"530 W. Maple Avenue
Ursa, IL 62376",C007543
Lewis Machine And Tool,JAG,"111 Midland Dr
Cuba, MO 65453",C007544
Lewis Pumps,JHF,"8625 Grant Road
St. Louis, MO 63123",C007545
Lewis Systems,JHF,"126 Bradley Drive
Lynchburg, VA 24501",C007546
"Lewis, Yockey and Brown, Inc.",JHF,"505 N Main Street
Bloomington, IL 61701",C020447
Lewisburg Rubber & Gasket,JHF,"601 East Church Street
Lewisburg, TN 37091",C007547
Lewis-Goetz,JHF,"100 Trigard Lane
Summerville, SC 29483",C007548
Lexel Corporation,LAW,"400 West North Street
Hutsonville, IL 62433",C007549
Lexel Corporation,JHF,"P.O. Box 508
Franksville, WI 53126",C007550
"Ley Metals, Inc.",JHF,"3000 Peoria Road
Springfield, IL 62702",C007551
Leys Motor Service,JAP,"5256 North Goodes Mill Road
Washington, MO 63090",C016949
Lhoist North America,JHF,"P. O. Box 985004
Fort Worth, TX 76185",C027640
Liberty Art Works,JHF,"13523 S State Hwy 94
Marthasville, MO 63357",C007552
Liberty Fluid Power Services,JHF,"P.O. Box 901437
Kansas City, MO 64190",C007553
Liberty Fluid Power Services,JHF,"12101 Northwest Yukon
Kansas City, MO 64152",C007554
Liberty Tool And Die Co,JHF,"1042 West Robinson
Orlando, FL 32805",C007555
Liberty Utilities,JHF,"2370 North High  Ste #1
Jackson, MO 63755",C007556
Liberty Village Of Peoria,MDC,"6900 North Stalworth Drive
Peoria, IL 61615",C007557
Libla Industries,JHF,"C/O Mid-Continent Nail 
1450 Rowe Parkway
Poplar Bluff, MO 63901",C007558
Libman Broom Company,LAW,"220 North Sheldon Street
Arcola, IL 61910",C007559
Liebe,JHF,"582 Goddard Ave
Chesterfield, MO 63005",C014136
"Lieneke Machine and Fabrication, LLC",JHF,"9745 Highway 100
Chamois, MO 65024",C021060
"Liese Lumber Company, Inc.",JHF,"319 East Main Street
Belleville, IL 62220",C029567
Lifco Hydraulics  - USA,JHF,"171 Cooper Avenue
Suite 112
Tonawanda, NY 14150-6644",C030954
"Life Systems, Inc.",JHF,"515 Trade Center Blvd
Chesterfield, MO 63005",C007560
Lifecare Center Of St. Louis,JHF,"3520 Chouteau
St. Louis, MO 63103",C007561
Lifeline Emergency Vechiles,JHF,"1021 West First Street
Sumner, IA 50674",C007562
Lifeline Foods,JHF,"2811 South 11Th Street
St. Joseph, MO 64501",C007563
Lifetouch,JHF,"5126 Forest Hills Court
Loves Park, IL 61111",C007564
Lift Rite,JHF,"3283 Hwy. P
Wentzville, MO 63385",C007565
Lifting Gear Hire Corporation,JHF,"5700 Fee Fee
Hazelwood, MO 63042",C007566
Lifting Gear Hire Corporation,JHF,"9925 Industrial Drive
Bridgeview, IL 60455",C007567
Liftra Aps,JHF,"126 Industrial Road
Bushnell, IL 61422",C007568
Liftra Aps.,JHF,"875 N. Michigan Ave 
Suite 3950
Chicago, IL 60611",C007569
Light Electrical Service Llc,JHF,"1765 State Road  M 
P.O. Box 359
Edgar Springs, MO 65462",C007570
Light House For The Blind,JHF,"10440 Trenton
St. Louis, MO 63132",C007571
Light House For The Blind,JHF,"8833 Fleischer
St. Louis, MO 63134",C007572
Lighthouse Car Wash Llc,JHF,"3711 Park Lane
Columbia, MO 65202",C007573
Lighthouse Car Wash Llc.,JAG,"4108 Joslyn Court
Columbia, MO 65203",C007574
Lilley Warehousing,MTL,"1101 16Th St.
Granite City, IL 62040",C007575
Lillibridge Healthcare,JHF,"304 West Hay Street
Decatur, IL 62526",C022141
Lilly Enterprises,JHF,"4652 B Parker Ct
Scott Air Force Base, IL 62225",C007576
Lilton Davidson Trucking,JHF,"12983 Partridge Run
Florissant, MO 63033",C007577
Lincoln (Do Not Use - See C007582),JAW,"5701 Natural Bridge
St. Louis, MO 63120",C007583
Lincoln County Highway Dept.,LRH,"390 Oak Street
Troy, MO 63379",C007578
Lincoln County Sand,JHF,"8 Jefferson Ave
Valley Park, MO 63088",C007579
Lincoln Diagnostics Inc.,MDC,"P.O. Box 1128
Decatur, IL 62525",C007580
Lincoln Industrial,JAW,"Div. of SKF, Attn:  Accts Payable
5148 North Hanley Road
Saint Louis, MO 63134",C007581
Lincoln Industrial-Div Of Skf,JAW,"5148 North Hanley Rd
St. Louis, MO 63134",C007582
Lincoln Land Agri - Energy,LAW,"10406 North 1725th Street
Palestine, IL 62451",C016761
Lincoln Land Concrete,JHF,"6225 Industrial Drive
New Berlin, IL 62670",C025171
Lincoln Land F.S.,MJA,"16500 Old Route 54
New Berlin, IL 62670",C007584
Lincoln University,JAG,"P.O. Box 29 
820 Chestnut
Jefferson City, MO 65102",C007585
Lindall Baker,JHF,"1025 North Ferguson
Willow Springs, MO 65793",C014118
Lindbergh Commercial Services,JHF,"11509 Dorsett Rd.

MARYLAND HTS., MO 63043",C007586
Lindbergh Tire And Auto,JHF,"3934 Lemay Ferry Road
St Louis, MO 63125",C007587
Linde Llc,JHF,"1200 South Delmar 
P.O. Box 37
Hartford, IL 62048",C007588
Lindell May Trucking Service,RDP,"2959 North US 45 Road
Metropolis, IL 62960",C016220
Linden,JHF,"800 West Deer Brook
Peoria, IL 61615",C007589
Lindsay Chevrolet,JHF,"735 Maple Lane
Lebanon, MO 65536",C015717
Lindsay Chrysler-Dodge,JHF,"518 Missouri Avenue
Waynesville, MO 65583",C007590
Lindsay Chrysler-Dodge,JHF,"P.O. Box 518
Waynesville, MO 65583",C007591
Lindsay Window,JHF,"11 Cedar Court
Union, MO 63084",C007592
Lindsay Windows Missouri Llc,JHF,"1995 Commerce Lane 
Suite Mo
Mankato, MN 56003",C007593
Line - X Of Missouri,JHF,"1800 Burlington
Columbia, MO 65202",C007594
Line Hardware,JHF,"4426 Hunt
St. Louis, MO 63110",C007595
Line X,SDH,"2012 Sierra Pkwy
Arnold, MO 63010",C007596
Linek Plumbing,JHF,"24 Kirkham Industrial Drive 
P.O. Box 190408
Webster Grove, MO 63119",C007597
Linen King,JAG,"2600 Maguire
Columbia, MO 65201",C007598
Linen King Group Llc,JHF,"1521 West 36Th Place
Tulsa, OK 74107",C007599
Linex,JHF,"8740 Watson Road
Webster Grove, MO 63119",C014145
Line-X,SDH,"70 Francois Drive
Herculaneum, MO 63048",C007600
Line-X Of Jefferson County,SDH,"2012 Sierra Parkway
ARNOLD, MO 63010",C007601
Line-X Of Quincy,JHF,"300 Broadway
Quincy, IL 62301",C007602
Line-X Of Southern Illinois,JHF,"18 North 3Rd
Belleville, IL 62220",C007603
Lingreen Equipment,JHF,"401 South Water Street
Urbana, IL 61820",C007604
Link Specialized Inc,JHF,"4146 State Route 154
Pinckneyville, IL 62274",C007605
Linkons Auto Supply,JHF,"**Out Of Business** 
2222 East Mc Cord
Centralia, IL 62801",C007606
"Linmark Machine Products, Inc.",JAP,"553 Commercial Drive 
P. O. Box 408
Union, MO 63084",C007607
Linn Auto Parts,JHF,"1769 Highway 50 East
Linn, MO 65051",C007608
Linton Logging,LRH,"3639 Highway Kk
Troy, MO 63379",C007610
Linweld,JAG,"P.O. Box 1227 
3109 Paris Road
Columbia, MO 65201",C007611
"Lion Lumber, LLC",JHF,"19829 Hwy 54
Louisiana, MO 63353",C012106
Lipco,KFC,"P O Box 601
Branson, MO 65615",C007612
Liquid Soap Company,JHF,"3330 S Outer Belt Road
Grain Valley, MO 64029",C037864
"Liquid Solutions, Llc",JHF,"2520 Adie Road
Maryland Hts., MO 63043",C007613
Liscombe Tree Service,JHF,"218 Huanting Road
Saint Charles, MO 63301",C037064
Lisk Fish Farms,JHF,"1354 Katsura
Chesterfield, MO 63005",C007614
"Litchfield Pump & Motor Co., Inc.",MJA,"327 West Chapin Street
Litchfield, IL 62056",C007615
Litchfield Water Treatment Fac,JHF,"4363 Illinois Route 16
Litchfield, IL 62056",C007616
Lithoflex,JHF,"1332 Hanley Industrial Court
St. Louis, MO 63144",C007617
Littelfuse,JHF,"Lima Technology Center 
Special Economic Zone 
4233 Malvar
Batangas
Philippines4200
PHL",C007618
Littelfuse Incorporated,JHF,"P.O. Box 1518
Des Plains, IL 60017",C007619
Little Dog Auto Parts Llc,LRH,"110 West Main Cross
Palmyra, MO 63461",C007620
Little Egypt Shows,JHF,"406 Bainvridge Road
Marion, IL 62959",C007621
Little John Motor Sports,LRH,"97 Harbor Drive
St. Charles, MO 63301",C007622
Little Tractor and Equipment,JHF,"11 Veterans Drive
P. O. Box 772
Harrisburg, IL 62946",C021270
Litton Enterprises,RDP,"3305 West Commerical Road
Marion, IL 62959",C007623
Livekey Tool And Machine,MTL,"2500 Smelting Works Road
Swansea, IL 62226",C007624
Livingston & Haven,JHF,"11529  Wilmar Boulevard
Charlotte, NC 28273",C007625
Livingston & Haven,JHF,"P.O. Box 7207
Charlotte, NC 28241",C007626
Livingston Electric Motor Rep,JHF,"17842 2000Th Avenue
Effingham, IL 62401",C007627
Livingston Pipe & Tube,MJA,"1612 Route 4 
P.O. Box 300
Staunton, IL 62088",C007628
Livingston Tool Company,MRH,"85 N. Central Dr
O'Fallon, MO 63366",C007629
Lizard Ridge Blacksmith Shop,JHF,"12486 Sutton Rd
Belgrade, MO 63622",C007630
Ljb Mechanical,JHF,"16632 Green Pines Dr
Ballwin, MO 63011",C007631
LJS Metal Fabrication,SDH,"8160 Nature Trail Road
Sparta, IL 62286",C007632
LKQ Corporation,KFC,"2720 N. Airport Commerce Road 
Attn:  Accounts Payable
Springfield, MO 65803",C007633
LL Ranch,JHF,"1367 County Road 133
Maywood, MO 63454",C028657
Lloyd A. Lynn Inc.,JHF,"P.O. Box 117
Labadie, MO 63055",C007634
Lloyd Belt Automotive,JAG,"2007 Bus. Hwy 54 S 
P.O.  Box 228
Eldon, MO 65026",C007635
Lloyd Belt Body Shop,JAG,"36 Cave Drive 
P. O.  Box 228
Eldon, MO 65026",C007636
Lloyd Belt Chrysler,JHF,"1702 S. Business Highway 54
Eldon, MO 65026",C007637
LMB,JHF,"13990 Old Halls Ferry Road
Florissant, MO 63034",C020260
LMC Industries,SDH,"100 Manufacturers Dr
Arnold, MO 63010",C007638
LMC Industries,SDH,"110 Manufacturers Drive
Arnold, MO 63010",C007639
Lmh Environmental,JHF,"P.O. Box 621164
Orangevale, CA 95662",C007640
LMI Aerospace,JAG,"106 Midland Drive
Cuba, MO 65453",C009553
LMI Aerospace,JAP,"6325 Avantha Drive
Washington, MO 63090",C013316
LMV Automotive Systems,JHF,"3251 Heartland Drive
LIBERTY, MO 64068",C014255
LNA,JHF,"Attn. Accounts Payable 
P.O. Box 985004
Fort Worth, TX 76185",C007641
Lns Turbo,JHF,"203 Turbo Drive
Kings Mountain, NC 28086",C007642
"Lochirco Fruit & Produce, Inc.",JHF,"D/B/A Happy Apple Company 
527 Commercial Drive
Union, MO 63084",C007643
"Lochirco Fruit & Produce, Inc.",JAP,"D/B/A Happy Apple Company 
P.O. Box 1038
Washington, MO 63090",C007644
Lock & Dam 15,JHF,"1575 Rodman Ave
Rock Island, IL 61204",C007645
